0,0.00,0
1,0.00,1
2,0.00,2
3,0.00,3
4,0.00,4
5,0.00,5
6,0.22,6
7,0.82,7
8,0.96,8
9,1.65,9
10,2.32,10
11,2.79,11
12,2.37,12
13,2.62,13
14,2.37,14
15,2.18,15
16,1.57,16
17,0.75,17
18,0.55,18
19,0.09,19
20,0.00,20
21,0.00,21
22,0.00,22
23,0.00,23
24,0.00,0
25,0.00,1
26,0.00,2
27,0.00,3
28,0.00,4
29,0.00,5
30,0.09,6
31,0.30,7
32,0.55,8
33,1.01,9
34,2.17,10
35,2.46,11
36,1.78,12
37,1.83,13
38,1.55,14
39,1.34,15
40,1.59,16
41,0.92,17
42,0.34,18
43,0.02,19
44,0.00,20
45,0.00,21
46,0.00,22
47,0.00,23
48,0.00,0
49,0.00,1
50,0.00,2
51,0.00,3
52,0.00,4
53,0.01,5
54,0.26,6
55,0.62,7
56,0.65,8
57,1.51,9
58,1.15,10
59,1.19,11
60,1.00,12
61,1.52,13
62,1.71,14
63,2.12,15
64,1.12,16
65,0.78,17
66,0.45,18
67,0.06,19
68,0.00,20
69,0.00,21
70,0.00,22
71,0.00,23
72,0.00,0
73,0.00,1
74,0.00,2
75,0.00,3
76,0.00,4
77,0.00,5
78,0.14,6
79,0.70,7
80,1.41,8
81,2.10,9
82,1.99,10
83,1.86,11
84,2.26,12
85,1.41,13
86,1.56,14
87,1.56,15
88,1.50,16
89,0.92,17
90,0.34,18
91,0.06,19
92,0.00,20
93,0.00,21
94,0.00,22
95,0.00,23
96,0.00,0
