37	11.4	29	99.42878	813.8888888889	50	-4.5	14	1004.4	1008.4	"--"	33.5	21.6	25.8	50	7.4	"??"	1	2.93	"--"			
38	12.7	29.3	101.6318	694.4444444444	50	-3.7	15	1004.3	1008.3	"--"	33	21.2	25.2	50	8.7	"??"	1	2.5	"--"	"--"	1	30
39	10.7	29.5	104.9484	530.5555555556	51	-3.2	16	1004	1008	"--"	32.7	21.2	25.2	51	7.5	"??"	1	1.91	"--"			
40	11.8	29.2	103.2401	338.8888888889	53	-2.8	17	1003.8	1007.8	"--"	32	21.2	25.2	53	6.6	"??"	1	1.22	"--"			
41	13.5	28.5	107.1738	147.2222222222	56	-2.9	18	1004.4	1008.4	"--"	31.4	21.6	25.8	56	7.7	"??"	1	0.53	"--"	1	30	
42	9.2	28.1	95.77986	11.1111111111	59	-2.4	19	1004.8	1008.8	"--"	30.5	21.6	25.8	59	6.4	"??"	0.2	0.04	"--"			
43	9.2	27.4	75.52512	0	61	-2.7	20	1005.5	1009.5	"--"	30.1	21.7	26	61	6.6	"??"	0	"--"				
44	9.6	27.1	57.78432	0	63	-2.7	21	1006.3	1010.3	"--"	29.8	22	26.4	63	6.2	"??"	"--"	"--"	1	30		
45	9.7	26.9	50.21478	0	63	-2.6	22	1006.4	1010.4	"--"	29.5	21.7	26	63	5.7	"??"	"--"					
46	9.7	26.7	34.31791	0	63	-2.7	23	1006.4	1010.4	"--"	29.4	21.6	25.8	63	5.8	"??"	"--"					
47	9.7	26.7	27.74343	0	63	-2.4	24	1006.4	1010.4	"--"	29.1	21.3	25.3	63	5.6	"??"						
48	8.4	26.4	19.22778	0	64	-2.5	1	1006.5	1010.5	"--"	28.9	21.4	25.5	64	5.4	"??"	"--"					
49	8.2	26.2	15.32399	0	66	-2.5	2	1006.6	1010.6	"--"	28.7	21.7	26	66	4.9	"??"	"--"					
50	7.6	25.9	12.47686	0	66	-2.5	3	1006.7	1010.7	"--"	28.4	21.4	25.5	66	5.2	"??"	"--"	8	30			
51	7.1	25.8	10.90232	0	67	-2.5	4	1007	1011	"--"	28.3	21.6	25.8	67	5.8	"??"	"--"					
52	6.6	25.6	11.01639	0	67	-2.5	5	1007.4	1011.5	"--"	28.1	21.4	25.5	67	5.3	"??"	"--"	0	"--"			
53	8.9	25.5	14.25435	63.8888888889	67	-2.7	6	1007.6	1011.7	"--"	28.2	21.5	25.6	67	5.8	"??"	0.6	0.23	"--"	6	40	
