0,7.2,26.8,22.5,0
1,5.5,26.4,22.5,1
2,6.4,26.3,45.0,2
3,7.3,26.2,45.0,3
4,7.7,26.2,22.5,4
5,4.4,25.9,22.5,5
6,6.1,25.9,45.0,6
7,7.1,26.8,45.0,7
8,4.3,27.7,45.0,8
9,5.1,28.5,22.5,9
10,5.5,29.4,22.5,10
11,5.1,30.1,22.5,11
12,8.3,30.4,22.5,12
13,9.2,31.1,0.0,13
14,11.6,30.1,0.0,14
15,9.9,29.9,0.0,15
16,11.0,29.5,22.5,16
17,11.6,28.9,22.5,17
18,11.9,28.1,22.5,18
19,12.3,27.2,0.0,19
20,11.4,26.8,22.5,20
21,8.5,26.6,22.5,21
22,10.0,26.2,22.5,22
23,9.7,26.1,22.5,23
24,9.5,26.2,22.5,0
25,10.5,26.0,22.5,1
26,8.5,25.7,22.5,2
27,9.6,25.8,22.5,3
28,9.0,25.6,22.5,4
29,9.2,25.6,22.5,5
30,9.0,25.4,0.0,6
31,8.7,25.9,0.0,7
32,9.8,26.7,22.5,8
33,7.8,27.8,22.5,9
34,10.1,28.3,22.5,10
35,11.2,28.7,22.5,11
36,11.7,28.6,22.5,12
37,11.4,29.0,22.5,13
38,12.7,29.3,22.5,14
39,10.7,29.5,22.5,15
40,11.8,29.2,22.5,16
41,13.5,28.5,22.5,17
42,9.2,28.1,22.5,18
43,9.2,27.4,22.5,19
44,9.6,27.1,22.5,20
45,9.7,26.9,22.5,21
46,9.7,26.7,22.5,22
47,9.7,26.7,22.5,23
48,8.4,26.4,22.5,0
49,8.2,26.2,22.5,1
50,7.6,25.9,45.0,2
51,7.1,25.8,22.5,3
52,6.6,25.6,22.5,4
53,8.9,25.5,22.5,5
54,8.5,25.5,22.5,6
55,7.8,25.7,22.5,7
56,9.5,26.7,45.0,8
57,10.1,27.5,22.5,9
58,8.8,28.4,22.5,10
59,10.1,29.0,22.5,11
60,9.9,29.4,22.5,12
61,9.8,29.8,22.5,13
62,12.3,29.7,22.5,14
63,11.1,29.7,0.0,15
64,9.5,29.7,0.0,16
65,9.9,29.1,22.5,17
66,10.2,28.6,22.5,18
67,11.0,27.5,22.5,19
68,10.2,27.0,22.5,20
69,9.6,26.9,22.5,21
70,10.2,26.6,22.5,22
71,9.4,26.4,22.5,23
72,10.4,26.2,22.5,0
73,8.7,25.8,22.5,1
74,9.2,25.9,22.5,2
75,8.6,25.7,22.5,3
76,7.3,25.6,22.5,4
77,7.1,25.5,22.5,5
78,7.2,25.6,22.5,6
79,6.4,26.2,22.5,7
80,6.0,27.3,22.5,8
81,6.6,28.0,22.5,9
82,7.1,28.5,22.5,10
83,7.1,29.4,22.5,11
84,6.8,30.1,0.0,12
85,8.2,30.5,0.0,13
86,7.9,30.5,0.0,14
87,5.3,31.1,0.0,15
88,6.1,30.8,0.0,16
89,6.3,30.2,0.0,17
90,5.5,29.8,0.0,18
91,5.0,29.1,0.0,19
92,3.6,28.7,0.0,20
93,2.8,28.2,0.0,21
94,0.9,27.6,270.0,22
95,4.7,26.1,292.5,23
96,4.4,23.8,270.0,0
