52	6.6	25.6	11.01639	0.00	4	1007	1011	67		298.75	301.3105872427	2.5605872427						
53	8.9	25.5	14.25435	63.89	5	1007.4	1011.5	67	0	298.65	301.2097301424	2.5597301424						
54	8.5	25.5	23.04709	175.00	6	1007.6	1011.7	67	0.23	298.65	301.2097301424	2.5597301424						
55	7.8	25.7	37.88587	430.56	7	1008.1	1012.1	64	0.63	298.85	301.411444343	2.561444343						
56	9.5	26.7	50.80559	619.44	8	1008.1	1012.1	61	1.55	299.85	302.4200153463	2.5700153463						
57	10.1	27.5	78.39095	766.67	9	1008.2	1012.2	54	2.23	300.65	303.226872149	2.576872149						
58	8.8	28.4	97.40973	866.67	10	1008.3	1012.3	50	2.76	301.55	304.134586052	2.584586052						
59	10.1	29	102.41	913.89	11	1007.7	1011.7	47	3.12	302.15	304.739728654	2.589728654						
60	9.9	29.4	100.4375	897.22	12	1007.3	1011.3	46	3.29	302.55	305.1431570553	2.5931570553						
61	9.8	29.8	99.42878	822.22	13	1007	1011	46	3.23	302.95	305.5465854566	2.5965854566						
62	12.3	29.7	101.6318	700.00	14	1006.5	1010.5	46	2.96	302.85	305.4457283563	2.5957283563						
63	11.1	29.7	104.9484	533.33	15	1006.2	1010.2	46	2.52	302.85	305.4457283563	2.5957283563						
64	9.5	29.7	103.2401	341.67	16	1006.3	1010.3	50	1.92	302.85	305.4457283563	2.5957283563						
65	9.9	29.1	107.1738	147.22	17	1006.3	1010.3	52	1.23	302.25	304.8405857543	2.5905857543						
66	10.2	28.6	95.77986	11.11	18	1006.6	1010.6	54	0.53	301.75	304.3363002527	2.5863002527						
67	11	27.5	75.52512	0.00	19	1007	1011	58	0.04	300.65	303.226872149	2.576872149						
68	10.2	27	57.78432	0.00	20	1007.5	1011.5	61	0	300.15	302.7225866473	2.5725866473						
69	9.6	26.9	50.21478	0.00	21	1008	1012	59		300.05	302.621729547	2.571729547						
70	10.2	26.6	34.31791	0.00	22	1008.1	1012.1	62		299.75	302.319158246	2.569158246						
71	9.4	26.4	27.74343	0.00	23	1008.1	1012.1	62		299.55	302.1174440454	2.5674440454						
72	10.4	26.2	19.22778	0.00	24	1007.9	1011.9	63		299.35	301.9157298447	2.5657298447						
73	8.7	25.8	15.32399	0.00	1	1008	1012	66		298.95	301.5123014434	2.5623014434						
74	9.2	25.9	12.47686	0.00	2	1008	1012	66		299.05	301.6131585437	2.5631585437						
75	8.6	25.7	10.90232	0.00	3	1008.5	1012.6	66		298.85	301.411444343	2.561444343						
76	7.3	25.6	11.01639	0.00	4	1008.7	1012.8	68		298.75	301.3105872427	2.5605872427						
77	7.1	25.5	14.25435	61.11	5	1009.1	1013.2	68	0	298.65	301.2097301424	2.5597301424						
78	7.2	25.6	23.04709	238.89	6	1009.2	1013.3	67	0.22	298.75	301.3105872427	2.5605872427						
