date,Sdown (W m-2),Sup (W m-2),Ldown (W m-2),Lup (W m-2),U (m s-1),Tsonic (oC),q (g kg-1),H (W m-2),LE (W m-2),z'/L
2005-08-20 00:00:00,0.0,-0.2,428.6,477.0,2.7807,28.411,18.159,-0.78216,2.512,0.0061209
2005-08-20 01:00:00,0.0,-0.4,427.8,476.2,2.9516,28.364,18.058,-5.4581,5.3442,0.024437
2005-08-20 02:00:00,0.1,-0.2,425.6,474.0,1.9481,28.167,18.047,-4.7136,6.9546,0.073867
2005-08-20 03:00:00,0.1,0.0,425.1,471.1,1.7139,27.764,18.699,-1.5397,-1.6111,0.073733
2005-08-20 04:00:00,0.4,-0.2,419.6,469.6,1.2942,27.649,18.208,-2.9979,8.2483,0.16845
2005-08-20 05:00:00,42.8,2.1,421.1,471.9,1.2588,27.435,17.478,-0.91357,1.7021,0.48317
2005-08-20 06:00:00,214.1,18.7,432.6,481.4,1.837,27.612,18.026,26.376,25.124,-1.898
2005-08-20 07:00:00,408.9,43.8,441.4,495.5,2.2213,28.183,17.177,88.47,60.646,-0.34749
2005-08-20 08:00:00,582.0,70.9,453.8,515.9,2.121,29.198,16.677,147.2,95.889,-1.4479
2005-08-20 09:00:00,714.1,84.6,464.1,532.1,3.0931,30.312,16.503,173.33,152.25,-0.44625
2005-08-20 10:00:00,829.2,91.4,470.7,545.0,4.8396,30.873,16.843,222.35,193.82,-0.14767
2005-08-20 11:00:00,883.1,97.2,470.9,554.1,6.2076,31.193,16.003,261.37,180.02,-0.11447
2005-08-20 12:00:00,873.7,98.8,473.0,559.6,6.4569,31.604,15.987,313.81,245.44,-0.11041
2005-08-20 13:00:00,795.1,98.0,464.5,553.5,7.7394,31.227,16.564,274.52,193.47,-0.082692
2005-08-20 14:00:00,678.6,89.3,458.8,546.8,7.7513,31.192,16.907,274.45,215.1,-0.047501
2005-08-20 15:00:00,476.6,69.1,449.1,533.0,7.6277,30.954,17.156,193.85,162.37,-0.064796
2005-08-20 16:00:00,273.6,44.7,442.4,518.0,6.9427,30.653,16.698,132.81,131.32,-0.058412
2005-08-20 17:00:00,92.3,17.0,433.4,504.7,6.8582,30.271,17.134,69.925,47.836,-0.035363
2005-08-20 18:00:00,6.8,1.9,425.9,493.1,6.6506,29.713,17.739,30.451,17.186,-0.022726
2005-08-20 19:00:00,0.0,-0.1,423.7,487.8,6.6558,29.293,17.703,15.638,24.092,-0.010107
2005-08-20 20:00:00,0.0,-0.1,422.6,484.8,5.7021,29.124,17.449,10.338,35.786,-0.0058055
2005-08-20 21:00:00,0.0,0.0,421.0,481.8,6.0086,28.795,17.4,8.0339,10.724,-0.0064138
2005-08-20 22:00:00,0.0,-0.2,420.0,479.2,4.7283,28.599,17.85,3.3645,8.0181,-0.0050015
2005-08-20 23:00:00,0.0,-0.1,419.2,477.2,5.0197,28.399,17.776,1.9263,8.8766,-0.003147
