date,U29m (m s-1),U21m (m s-1),U15m (m s-1),U11m (m s-1)
2005-08-20 00:00:00,2.7807,2.41,2.0347,1.2666
2005-08-20 01:00:00,2.9516,2.6463,2.1428,1.5456
2005-08-20 02:00:00,1.9481,1.7452,1.3984,0.96743
2005-08-20 03:00:00,1.7139,1.5246,1.2288,0.87384
2005-08-20 04:00:00,1.2942,1.1475,0.94199,0.61441
2005-08-20 05:00:00,1.2588,1.1051,0.97969,0.62456
2005-08-20 06:00:00,1.837,1.6118,1.4489,0.94392
2005-08-20 07:00:00,2.2213,2.0485,1.8151,1.3251
2005-08-20 08:00:00,2.121,1.9126,1.7167,1.2105
2005-08-20 09:00:00,3.0931,2.6382,2.2397,1.4681
2005-08-20 10:00:00,4.8396,4.0473,3.2029,1.9951
2005-08-20 11:00:00,6.2076,5.0718,3.9364,2.451
2005-08-20 12:00:00,6.4569,5.4624,4.4756,2.7898
2005-08-20 13:00:00,7.7394,6.3921,4.9735,3.1117
2005-08-20 14:00:00,7.7513,6.0372,4.417,2.6967
2005-08-20 15:00:00,7.6277,6.3021,4.9629,3.141
2005-08-20 16:00:00,6.9427,5.7711,4.8746,3.1109
2005-08-20 17:00:00,6.8582,5.6644,4.767,3.0029
2005-08-20 18:00:00,6.6506,5.5683,4.681,3.0846
2005-08-20 19:00:00,6.6558,5.5153,4.6602,2.9811
2005-08-20 20:00:00,5.7021,4.7841,4.0713,2.6118
2005-08-20 21:00:00,6.0086,4.9571,4.1431,2.6686
2005-08-20 22:00:00,4.7283,3.8827,3.2605,2.092
2005-08-20 23:00:00,5.0197,4.2097,3.5405,2.2549
