date,Tair0.75m (oC),Tair3m (oC),Tair5m (oC),Tair7m (oC),Tair9m (oC),Tair11m (oC),Tair14m (oC),Tair17m (oC),Tair21m (oC),Tair25m (oC),Tair28m (oC)
2005-01-02 00:00:00,1.347833333,1.454,-6999.0,1.400333333,1.491166667,1.5295,-6999.0,1.568166667,-6999.0,1.561,1.549333333
2005-01-02 01:00:00,0.912333333,1.051666667,-6999.0,1.0185,-2332.151,1.128333333,-6999.0,1.175833333,-6999.0,1.181166667,1.169166667
2005-01-02 02:00:00,0.142666667,0.251333333,-6999.0,0.245833333,-6999.0,0.304833333,-6999.0,0.384833333,-6999.0,0.402666667,0.3915
2005-01-02 03:00:00,-0.825666667,-0.6825,-6999.0,-0.64,-6999.0,-0.560333333,-6999.0,-0.482,-6999.0,-0.4455,-0.446333333
2005-01-02 04:00:00,-1.715666667,-1.13,-6999.0,-0.974166667,-6999.0,-0.783666667,-6999.0,-0.614833333,-6999.0,-0.5605,-0.558833333
2005-01-02 05:00:00,-2.374666667,-1.625333333,-6999.0,-1.2475,-6999.0,-0.932666667,-6999.0,-0.725833333,-6999.0,-0.644666667,-0.635833333
2005-01-02 06:00:00,-2.418166667,-2.06,-6999.0,-1.842,-6999.0,-1.571833333,-6999.0,-1.163166667,-6999.0,-0.838333333,-0.781666667
2005-01-02 07:00:00,-1.818166667,-1.605,-6999.0,-1.376166667,-5832.44,-1.077333333,-6999.0,-0.8085,-6999.0,-0.4915,-0.4885
2005-01-02 08:00:00,0.272833333,0.670833333,-6999.0,0.803,-6999.0,0.710833333,-6999.0,0.657666667,-6999.0,0.455833333,0.401833333
2005-01-02 09:00:00,3.294166667,3.659833333,-6999.0,3.630166667,-3471.391667,3.576833333,-6999.0,3.539,-6999.0,3.217,3.403333333
2005-01-02 10:00:00,5.622,5.705666667,-6999.0,5.708166667,-6999.0,5.5485,-6999.0,5.528,-6999.0,5.167,4.946333333
2005-01-02 11:00:00,7.725833333,7.763333333,-6999.0,7.4305,-6999.0,7.090166667,-6999.0,6.994333333,-6999.0,6.559666667,6.238166667
2005-01-02 12:00:00,8.338333333,8.38,-6999.0,8.336666667,-6999.0,7.961666667,-6999.0,7.978333333,-6999.0,7.588333333,7.57
2005-01-02 13:00:00,8.286666667,8.481666667,-6999.0,8.98,-6999.0,8.676666667,-6999.0,8.69,-6999.0,8.251666667,8.121666667
2005-01-02 14:00:00,8.63,8.756666667,-6999.0,9.201666667,-6999.0,8.941666667,-6999.0,8.801666667,-6999.0,8.383333333,8.545
2005-01-02 15:00:00,8.311666667,8.396666667,-6999.0,8.678333333,-6999.0,8.556666667,-6999.0,8.471666667,-6999.0,8.191666667,8.238333333
2005-01-02 16:00:00,6.940666667,7.46,-6999.0,7.658333333,-5831.238333,7.845,-6999.0,7.938333333,-6999.0,7.898333333,7.885
2005-01-02 17:00:00,5.069166667,6.313666667,-6999.0,7.029666667,-6999.0,7.268333333,-6999.0,7.601666667,-6999.0,7.705,7.656666667
2005-01-02 18:00:00,3.938666667,5.334166667,-6999.0,6.806666667,-6999.0,7.207833333,-6999.0,7.625,-6999.0,7.76,7.736666667
2005-01-02 19:00:00,3.781833333,4.868666667,-6999.0,6.230666667,-6999.0,6.854,-6999.0,7.431666667,-6999.0,7.673333333,7.585
2005-01-02 20:00:00,3.390666667,4.4995,-6999.0,5.631,-6999.0,6.403,-6999.0,7.075666667,-6999.0,7.3,7.333333333
2005-01-02 21:00:00,3.248333333,4.156,-6999.0,4.5825,-6999.0,5.023166667,-6999.0,5.603666667,-6999.0,5.918166667,6.007166667
2005-01-02 22:00:00,3.649833333,3.901166667,-6999.0,3.914833333,-6999.0,4.012833333,-6999.0,4.1335,-6999.0,4.1575,4.157666667
2005-01-02 23:00:00,2.849666667,2.967166667,-6999.0,2.9325,-6999.0,2.9575,-6999.0,2.976833333,-6999.0,2.929,2.9025
