date,U29m (m s-1),U21m (m s-1),U15m (m s-1),U11m (m s-1)
2005-01-02 00:00:00,3.7581,3.0904,2.4516,1.7736
2005-01-02 01:00:00,3.0754,2.4529,1.9128,1.2607
2005-01-02 02:00:00,3.0179,2.4558,1.8843,1.264
2005-01-02 03:00:00,2.6226,2.1115,1.6518,1.1486
2005-01-02 04:00:00,2.0477,1.6357,1.2156,0.70961
2005-01-02 05:00:00,1.6847,1.2164,0.82621,0.43929
2005-01-02 06:00:00,1.9003,1.5323,1.1221,0.66614
2005-01-02 07:00:00,2.2763,1.7638,1.3636,1.0039
2005-01-02 08:00:00,1.7213,1.5217,1.3372,1.0521
2005-01-02 09:00:00,0.69401,0.62064,0.50971,0.36155
2005-01-02 10:00:00,0.80165,0.72096,0.61729,0.39405
2005-01-02 11:00:00,0.47994,0.39101,0.43302,0.28103
2005-01-02 12:00:00,0.56348,0.49267,0.46218,0.31388
2005-01-02 13:00:00,1.3049,1.1395,1.0098,0.78965
2005-01-02 14:00:00,2.3324,2.0259,1.5098,0.79233
2005-01-02 15:00:00,2.9046,2.5557,1.7023,0.98952
2005-01-02 16:00:00,2.5796,1.9578,1.2259,0.69618
2005-01-02 17:00:00,1.5942,1.3154,0.84632,0.38447
2005-01-02 18:00:00,1.3931,1.0971,0.70583,0.33033
2005-01-02 19:00:00,1.7907,1.4671,0.92805,0.33741
2005-01-02 20:00:00,1.3192,0.79307,0.39171,0.3753
2005-01-02 21:00:00,2.0635,1.9737,1.7316,1.1033
2005-01-02 22:00:00,3.328,2.7533,2.1062,1.3775
2005-01-02 23:00:00,3.49,2.9037,2.2732,1.5712
