,,,The datasets at the top of tower,,,,,,,,,,,The profile of the data from sonic anemometers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The profile of air temperature,,,,,,,,,,,,The profile of humidity,,,,,,,,,,
Year,Day of year,TIME(JST),Sdown (W m-2),Sup (W m-2),Ldown (W m-2),Lup (W m-2),U (m s-1),Tsonic (oC),q (g kg-1),H (W m-2),LE (W m-2),z'/L,,U29m (m s-1),U21m (m s-1),U15m (m s-1),U11m (m s-1),Tsonic29m (m s-1),Tsonic21m (m s-1),Tsonic15m (m s-1),Tsonic11m (m s-1),u'w'29m (m2 s-2),u'w'21m (m2 s-2),u'w'15m (m2 s-2),u'w'11m (m2 s-2),su29m (m s-1),su21m (m s-1),su15m (m s-1),su11m (m s-1),sv29m (m s-1),sv21m (m s-1),sv15m (m s-1),sv11m (m s-1),sw29m (m s-1),sw21m (m s-1),sw15m (m s-1),sw11m (m s-1),w'T'29m (m s-1 K),w'T'21m (m s-1 K),w'T'15m (m s-1 K),w'T'11m (m s-1 K),w'q'29m (m s-1 g kg-1),w'q'21m (m s-1 g kg-1),,Tair0.75m (oC),Tair3m (oC),Tair5m (oC),Tair7m (oC),Tair9m (oC),Tair11m (oC),Tair14m (oC),Tair17m (oC),Tair21m (oC),Tair25m (oC),Tair28m (oC),,H2O0.75m (mmol mol-1),H2O3m (mmol mol-1),H2O5m (mmol mol-1),H2O7m (mmol mol-1),H2O9m (mmol mol-1),H2O11m (mmol mol-1),H2O14m (mmol mol-1),H2O17m (mmol mol-1),H2O21m (mmol mol-1),H2O25m (mmol mol-1),H2O28m (mmol mol-1)
,2,9,401.3 ,46.3 ,259.0 ,333.9 ,0.69401,4.1049,1.8403,42.682,19.334,-23.705,,0.69401,0.62064,0.50971,0.36155,4.1049,3.7094,0.31258,1.9575,-0.0047467,0.0012277,0.00013663,-0.010985,0.52412,0.5174,0.60141,0.50749,0.67584,0.66485,0.68184,0.60149,0.32222,0.29616,0.26622,0.23594,0.034924,0.033712,0.035824,0.060361,0.0064403,0.0067643,,3.294166667,3.659833333,-6999,3.630166667,-3471.391667,3.576833333,-6999,3.539,-6999,3.217,3.403333333,,3.214392857,3.101964286,3.083964286,3.064321429,3.058107143,3.040214286,3.029178571,3.035107143,3.071285714,3.075785714,3.054357143
,2,10,507.2 ,58.3 ,264.9 ,348.4 ,0.80165,5.7338,1.4236,120.55,33.652,-0.00002207,,0.80165,0.72096,0.61729,0.39405,5.7338,5.3539,2.0677,3.7461,0.0086159,0.0036805,0.0032245,-0.012492,0.57311,0.62929,0.65403,0.59854,0.58342,0.5636,0.81051,0.68718,0.48752,0.43171,0.3572,0.30405,0.098642,0.086813,0.067562,0.052722,0.011117,0.0052209,,5.622,5.705666667,-6999,5.708166667,-6999,5.5485,-6999,5.528,-6999,5.167,4.946333333,,2.628928571,2.491535714,2.461642857,2.432392857,2.408714286,2.386714286,2.373178571,2.374285714,2.453464286,2.4775,2.451607143
,2,11,559.1 ,63.1 ,272.4 ,361.9 ,0.47994,6.8528,1.1796,126.36,28.894,-1.172,,0.47994,0.39101,0.43302,0.28103,6.8528,6.5397,3.4721,5.2096,-0.072174,-0.014016,-0.038253,-0.069299,0.82373,0.78084,0.77125,0.67456,0.57709,0.6348,0.64414,0.56164,0.48051,0.38913,0.34524,0.33093,0.10339,0.10173,0.10214,0.094018,0.0095462,0.007504,,7.725833333,7.763333333,-6999,7.4305,-6999,7.090166667,-6999,6.994333333,-6999,6.559666667,6.238166667,,2.274107143,2.100607143,2.0455,2.023571429,2.02275,1.997428571,1.972821429,1.952678571,2.010285714,2.017428571,2.005178571
,2,12,543.0 ,66.5 ,277.6 ,372.1 ,0.56348,7.9064,1.6649,126.33,30.103,-10.419,,0.56348,0.49267,0.46218,0.31388,7.9064,7.5265,4.4661,6.1258,-0.016773,0.028359,0.028171,0.035473,0.77077,0.75211,0.71449,0.65534,0.86766,0.89841,0.91874,0.77716,0.55526,0.45175,0.38435,0.35802,0.10336,0.086507,0.078692,0.065976,0.0097792,0.008863,,8.338333333,8.38,-6999,8.336666667,-6999,7.961666667,-6999,7.978333333,-6999,7.588333333,7.57,,2.805357143,2.643678571,2.632964286,2.61525,2.60225,2.583892857,2.571607143,2.568071429,2.545571429,2.560821429,2.609
,2,13,466.5 ,66.9 ,277.9 ,372.0 ,1.3049,8.5683,1.8973,97.246,17.897,-0.000021848,,1.3049,1.1395,1.0098,0.78965,8.5683,8.2699,5.1735,6.8831,0.052846,0.095394,0.079095,0.028118,1.2419,1.2151,1.1666,1.0388,1.0373,0.98513,0.9034,0.79425,0.48489,0.4353,0.3964,0.36245,0.079571,0.068031,0.04743,0.057272,0.0056398,0.0020964,,8.286666667,8.481666667,-6999,8.98,-6999,8.676666667,-6999,8.69,-6999,8.251666667,8.121666667,,3.044678571,2.978464286,2.972678571,2.950071429,2.945928571,2.92775,2.91325,2.901535714,2.889071429,2.897035714,2.930607143
,2,14,330.5 ,58.6 ,273.9 ,365.2 ,2.3324,8.8393,2.0204,67.518,29.989,-4.6806,,2.3324,2.0259,1.5098,0.79233,8.8393,8.5697,5.4101,7.1885,-0.018792,-0.05818,-0.073223,-0.086873,1.2272,1.247,1.2587,0.90132,0.93085,0.86351,0.68725,0.54871,0.50945,0.45084,0.45314,0.41914,0.055246,0.053891,0.059264,0.047196,0.0099505,0.0026095,,8.63,8.756666667,-6999,9.201666667,-6999,8.941666667,-6999,8.801666667,-6999,8.383333333,8.545,,3.357392857,3.272785714,3.257214286,3.242964286,3.238857143,3.221321429,3.197392857,3.169,3.122678571,3.125857143,3.129535714
,2,15,171.3 ,52.7 ,267.7 ,356.2 ,2.9046,8.8498,2.4563,35.525,21.907,-0.08349,,2.9046,2.5557,1.7023,0.98952,8.8498,8.6016,5.23,6.9096,-0.1794,-0.16112,-0.1649,-0.13247,0.90181,1.0496,1.0478,0.7643,0.95333,0.84455,0.66156,0.52398,0.46484,0.3873,0.41091,0.40483,0.029068,0.019602,0.020687,0.015887,0.0072996,0.0034372,,8.311666667,8.396666667,-6999,8.678333333,-6999,8.556666667,-6999,8.471666667,-6999,8.191666667,8.238333333,,3.919714286,3.876142857,3.873535714,3.854178571,3.843714286,3.832464286,3.807321429,3.782535714,3.689214286,3.66625,3.695642857
,2,16,29.7 ,10.6 ,256.9 ,340.4 ,2.5796,8.9432,2.806,-2.7629,6.6698,0.02312,,2.5796,1.9578,1.2259,0.69618,8.9432,8.6586,4.8804,6.3523,-0.076919,-0.080387,-0.033996,-0.027628,0.70504,0.70109,0.52933,0.38822,0.51244,0.51209,0.52879,0.39133,0.28073,0.28246,0.25162,0.21386,-0.0022607,-0.0050373,-0.004834,-0.0023457,0.0023208,0.00085281,,6.940666667,7.46,-6999,7.658333333,-5831.238333,7.845,-6999,7.938333333,-6999,7.898333333,7.885,,4.555964286,4.419964286,4.395,4.368392857,4.347178571,4.318035714,4.289535714,4.258321429,4.175607143,4.155071429,4.167214286
,2,17,2.9 ,0.3 ,256.1 ,332.4 ,1.5942,8.9396,2.979,-3.2081,1.1961,0.57764,,1.5942,1.3154,0.84632,0.38447,8.9396,8.6244,4.6161,5.8896,-0.0099431,-0.0070028,-0.0085757,-0.014364,0.42584,0.31127,0.34813,0.26692,0.5316,0.51195,0.46075,0.2221,0.14606,0.13204,0.13332,0.12646,-0.002625,-0.002103,-0.0068807,-0.011123,0.00043976,0.000014212,,5.069166667,6.313666667,-6999,7.029666667,-6999,7.268333333,-6999,7.601666667,-6999,7.705,7.656666667,,4.843785714,4.71025,4.637,4.5815,4.556928571,4.535964286,4.508321429,4.482571429,4.422035714,4.402214286,4.403
,2,18,2.8 ,-0.1 ,258.1 ,329.1 ,1.3931,8.9842,2.7802,0.30558,-1.1074,-0.95792,,1.3931,1.0971,0.70583,0.33033,8.9842,8.6531,4.6529,5.8444,-0.00148,-0.0023054,-0.00013025,-0.0043699,0.28039,0.26128,0.23449,0.19103,0.29101,0.28341,0.35623,0.19842,0.10058,0.097518,0.099629,0.085683,0.00025004,0.0016111,0.0020002,-0.0026949,-0.00038405,-0.00066651,,3.938666667,5.334166667,-6999,6.806666667,-6999,7.207833333,-6999,7.625,-6999,7.76,7.736666667,,4.764214286,4.697035714,4.521464286,4.397464286,4.352607143,4.309428571,4.236392857,4.188678571,4.127571429,4.088321429,4.055892857
