swtop,lwtop,wstop,ttop,qtop
0.9,395.3,1.1218,23.94,15.818
0.5,393.4,1.6669,23.8,15.144
0.6,389.8,1.8704,23.38333333,14.627
0.1,400.0,2.2524,23.34,14.806
0.3,397.6,2.6438,23.19166667,14.727
24.4,387.5,2.9013,22.84,14.428
157.4,400.0,2.0397,23.315,14.066
352.7,412.3,1.7583,24.19333333,13.984
531.2,426.4,0.86416,25.88833333,14.301
652.7,436.5,0.82544,27.69166667,13.939
716.1,442.8,2.865,28.52833333,13.945
804.6,448.7,3.1206,29.29333333,12.719
799.8,447.7,3.4932,29.535,12.439
714.7,448.1,3.6192,30.29333333,12.541
567.0,449.1,2.9536,30.59666667,13.407
385.2,443.4,3.4833,30.645,14.031
139.2,435.1,3.5606,29.585,14.964
36.3,431.1,3.211,28.44,16.043
1.3,423.8,3.4758,27.45833333,15.338
0.2,416.2,3.8569,26.74833333,15.134
0.2,412.9,3.119,26.395,15.639
0.2,411.6,2.7692,26.09833333,16.448
0.5,409.7,1.8495,25.83833333,16.544
0.7,405.1,1.569,25.46666667,16.822
0.9,395.3,1.1218,23.94,15.818
0.5,393.4,1.6669,23.8,15.144
0.6,389.8,1.8704,23.38333333,14.627
0.1,400.0,2.2524,23.34,14.806
0.3,397.6,2.6438,23.19166667,14.727
24.4,387.5,2.9013,22.84,14.428
157.4,400.0,2.0397,23.315,14.066
352.7,412.3,1.7583,24.19333333,13.984
531.2,426.4,0.86416,25.88833333,14.301
652.7,436.5,0.82544,27.69166667,13.939
716.1,442.8,2.865,28.52833333,13.945
804.6,448.7,3.1206,29.29333333,12.719
799.8,447.7,3.4932,29.535,12.439
714.7,448.1,3.6192,30.29333333,12.541
567.0,449.1,2.9536,30.59666667,13.407
385.2,443.4,3.4833,30.645,14.031
139.2,435.1,3.5606,29.585,14.964
36.3,431.1,3.211,28.44,16.043
1.3,423.8,3.4758,27.45833333,15.338
0.2,416.2,3.8569,26.74833333,15.134
0.2,412.9,3.119,26.395,15.639
0.2,411.6,2.7692,26.09833333,16.448
0.5,409.7,1.8495,25.83833333,16.544
0.7,405.1,1.569,25.46666667,16.822
0.9,395.3,1.1218,23.94,15.818
0.5,393.4,1.6669,23.8,15.144
0.6,389.8,1.8704,23.38333333,14.627
0.1,400.0,2.2524,23.34,14.806
0.3,397.6,2.6438,23.19166667,14.727
24.4,387.5,2.9013,22.84,14.428
157.4,400.0,2.0397,23.315,14.066
352.7,412.3,1.7583,24.19333333,13.984
531.2,426.4,0.86416,25.88833333,14.301
652.7,436.5,0.82544,27.69166667,13.939
716.1,442.8,2.865,28.52833333,13.945
804.6,448.7,3.1206,29.29333333,12.719
799.8,447.7,3.4932,29.535,12.439
714.7,448.1,3.6192,30.29333333,12.541
567.0,449.1,2.9536,30.59666667,13.407
385.2,443.4,3.4833,30.645,14.031
139.2,435.1,3.5606,29.585,14.964
36.3,431.1,3.211,28.44,16.043
1.3,423.8,3.4758,27.45833333,15.338
0.2,416.2,3.8569,26.74833333,15.134
0.2,412.9,3.119,26.395,15.639
0.2,411.6,2.7692,26.09833333,16.448
0.5,409.7,1.8495,25.83833333,16.544
0.7,405.1,1.569,25.46666667,16.822
0.9,395.3,1.1218,23.94,15.818
0.5,393.4,1.6669,23.8,15.144
0.6,389.8,1.8704,23.38333333,14.627
0.1,400.0,2.2524,23.34,14.806
0.3,397.6,2.6438,23.19166667,14.727
24.4,387.5,2.9013,22.84,14.428
157.4,400.0,2.0397,23.315,14.066
352.7,412.3,1.7583,24.19333333,13.984
531.2,426.4,0.86416,25.88833333,14.301
652.7,436.5,0.82544,27.69166667,13.939
716.1,442.8,2.865,28.52833333,13.945
804.6,448.7,3.1206,29.29333333,12.719
799.8,447.7,3.4932,29.535,12.439
714.7,448.1,3.6192,30.29333333,12.541
567.0,449.1,2.9536,30.59666667,13.407
385.2,443.4,3.4833,30.645,14.031
139.2,435.1,3.5606,29.585,14.964
36.3,431.1,3.211,28.44,16.043
1.3,423.8,3.4758,27.45833333,15.338
0.2,416.2,3.8569,26.74833333,15.134
0.2,412.9,3.119,26.395,15.639
0.2,411.6,2.7692,26.09833333,16.448
0.5,409.7,1.8495,25.83833333,16.544
0.7,405.1,1.569,25.46666667,16.822
0.9,395.3,1.1218,23.94,15.818
